,indexes,names,scores
0,1,CC_max_E3019_LFQ-intensity,0.759423143325
1,2,MAE_norm_E3027_Unique-peptides,0.0790439771395
2,3,MdAE_norm_E3027_Unique-peptides,0.0467687228704
3,4,AS_E3024_Intensity,0.0397216094167
4,5,R2_abs_E3021_MS-MS-Count,0.0212449460341
5,6,MSE_abs_E3021_Intensity,0.0181685129577
6,7,PC_E3028_Unique-peptides,0.0138232678435
7,8,FMS_E3021_iBAQ,0.0103320939073
8,9,CM_E3021_MS-MS-Count,0.00928612884504
9,10,MAE_norm_E3024_MS-MS-Count,0.00218759766061
10,11,PC_E3027_Unique-peptides,0.0
11,12,SC_E3027_Unique-peptides,0.0
12,13,CM_E3027_Unique-peptides,0.0
13,14,CM_norm_E3027_Unique-peptides,0.0
14,15,CA_E3027_Unique-peptides,0.0
15,16,combined_score,0.0
16,17,EVS_abs_E3017_iBAQ,0.0
17,18,CC_max_E3027_Unique-peptides,0.0
18,19,MAE_abs_E3017_iBAQ,0.0
19,20,MSE_abs_E3017_iBAQ,0.0
20,21,MdAE_abs_E3017_iBAQ,0.0
21,22,R2_abs_E3017_iBAQ,0.0
22,23,EVS_norm_E3017_iBAQ,0.0
23,24,MAE_norm_E3017_iBAQ,0.0
24,25,CC_average_E3027_Unique-peptides,0.0
25,26,HL_E3027_Unique-peptides,0.0
26,27,CC_abs_E3027_Unique-peptides,0.0
27,28,FMS_E3027_Unique-peptides,0.0
28,29,MdAE_abs_E3027_Unique-peptides,0.0
29,30,R2_abs_E3027_Unique-peptides,0.0
30,31,EVS_norm_E3027_Unique-peptides,0.0
31,32,MSE_norm_E3027_Unique-peptides,0.0
32,33,R2_norm_E3027_Unique-peptides,0.0
33,34,ADR_E3027_Unique-peptides,0.0
34,35,CS_E3027_Unique-peptides,0.0
35,36,HS_E3027_Unique-peptides,0.0
36,37,RS_E3027_Unique-peptides,0.0
37,38,MIS_E3027_Unique-peptides,0.0
38,39,VMS_E3027_Unique-peptides,0.0
39,40,AS_E3027_Unique-peptides,0.0
40,41,CKS_E3027_Unique-peptides,0.0
41,42,F1_E3027_Unique-peptides,0.0
42,43,MdAE_norm_E3017_iBAQ,0.0
43,44,PS_E3027_Unique-peptides,0.0
44,45,MSE_norm_E3017_iBAQ,0.0
45,46,CS_E3017_iBAQ,0.0
46,47,R2_norm_E3017_iBAQ,0.0
47,48,MdAE_norm_E3017_Intensity,0.0
48,49,MAE_abs_E3017_Intensity,0.0
49,50,MSE_abs_E3017_Intensity,0.0
50,51,MdAE_abs_E3017_Intensity,0.0
51,52,R2_abs_E3017_Intensity,0.0
52,53,EVS_norm_E3017_Intensity,0.0
53,54,MAE_norm_E3017_Intensity,0.0
54,55,MSE_norm_E3017_Intensity,0.0
55,56,R2_norm_E3017_Intensity,0.0
56,57,CA_E3017_iBAQ,0.0
57,58,ADR_E3017_Intensity,0.0
58,59,CS_E3017_Intensity,0.0
59,60,FMS_E3017_Intensity,0.0
60,61,HS_E3017_Intensity,0.0
61,62,MIS_E3017_Intensity,0.0
62,63,VMS_E3017_Intensity,0.0
63,64,AS_E3017_Intensity,0.0
64,65,EVS_abs_E3017_Intensity,0.0
65,66,CM_norm_E3017_iBAQ,0.0
66,67,ADR_E3017_iBAQ,0.0
67,68,F1_E3017_iBAQ,0.0
68,69,MAE_abs_E3027_Unique-peptides,0.0
69,70,FMS_E3017_iBAQ,0.0
70,71,HS_E3017_iBAQ,0.0
71,72,MIS_E3017_iBAQ,0.0
72,73,VMS_E3017_iBAQ,0.0
73,74,AS_E3017_iBAQ,0.0
74,75,CKS_E3017_iBAQ,0.0
75,76,HL_E3017_iBAQ,0.0
76,77,CM_E3017_iBAQ,0.0
77,78,PS_E3017_iBAQ,0.0
78,79,RS_E3017_iBAQ,0.0
79,80,CC_abs_E3017_iBAQ,0.0
80,81,CC_max_E3017_iBAQ,0.0
81,82,CC_average_E3017_iBAQ,0.0
82,83,PC_E3017_iBAQ,0.0
83,84,SC_E3017_iBAQ,0.0
84,85,MSE_abs_E3027_Unique-peptides,0.0
85,86,EVS_abs_E3027_Unique-peptides,0.0
86,87,F1_E3017_Intensity,0.0
87,88,MSE_norm_E3027_LFQ-intensity,0.0
88,89,CA_E3027_Intensity,0.0
89,90,EVS_abs_E3027_LFQ-intensity,0.0
90,91,MAE_abs_E3027_LFQ-intensity,0.0
91,92,MSE_abs_E3027_LFQ-intensity,0.0
92,93,MdAE_abs_E3027_LFQ-intensity,0.0
