,indexes,names,scores
0,1,textmining,0.269251986271
1,2,combined_score,0.266596948007
2,3,experimental,0.230468417357
3,4,CA_E3027_Unique-peptides,0.198855531665
4,5,MdAE_norm_E3019_MS-MS-Count,0.184520653085
5,6,CM_E3019_MS-MS-Count,0.173676997475
6,7,CM_norm_E3019_MS-MS-Count,0.156815239362
7,8,CM_E3024_LFQ-intensity,0.156521463443
8,9,MdAE_norm_E3024_LFQ-intensity,0.156230190154
9,10,CM_norm_E3019_LFQ-intensity,0.14811646589
10,11,EVS_norm_E3028_MS-MS-Count,0.138888140554
11,12,MIS_E3019_LFQ-intensity,0.136581450658
12,13,MSE_norm_E3024_LFQ-intensity,0.134930456486
13,14,EVS_norm_E3027_MS-MS-Count,0.131935833231
14,15,CKS_E3027_Unique-peptides,0.13011137231
15,16,R2_norm_E3028_MS-MS-Count,0.126072854485
16,17,CC_abs_E3021_Intensity,0.124515638269
17,18,CC_abs_E3019_iBAQ,0.122376072799
18,19,CM_norm_E3019_Unique-peptides,0.12088524403
19,20,PC_E3027_Unique-peptides,0.119874027509
20,21,R2_norm_E3027_MS-MS-Count,0.116753309181
21,22,CM_E3019_LFQ-intensity,0.112442340798
22,23,CM_E3019_Unique-peptides,0.111672765584
23,24,CM_norm_E3020_iBAQ,0.111367022053
24,25,CM_norm_E3020_Intensity,0.111367022053
25,26,CC_average_E3019_LFQ-intensity,0.110806006836
26,27,EVS_norm_E3027_Unique-peptides,0.110773194904
27,28,ADR_E3019_Unique-peptides,0.109856161396
28,29,MIS_E3019_Intensity,0.10968050712
29,30,MIS_E3019_iBAQ,0.10968050712
30,31,ADR_E3024_Intensity,0.107910954588
31,32,ADR_E3024_iBAQ,0.107910954588
32,33,CA_E3027_MS-MS-Count,0.107664492186
33,34,CA_E3017_LFQ-intensity,0.106586537957
34,35,AS_E3027_Unique-peptides,0.106537697265
35,36,RS_E3027_Unique-peptides,0.106537697265
36,37,PS_E3027_Unique-peptides,0.106537697265
37,38,CC_max_E3019_LFQ-intensity,0.106133132739
38,39,MIS_E3017_iBAQ,0.105561039529
39,40,MIS_E3017_Intensity,0.105561039529
40,41,F1_E3027_Unique-peptides,0.105376826716
41,42,R2_norm_E3017_LFQ-intensity,0.103293041514
42,43,CS_E3028_LFQ-intensity,0.103269757241
43,44,CM_norm_E3020_LFQ-intensity,0.101174643474
44,45,VMS_E3024_iBAQ,0.10108729605
45,46,VMS_E3024_Intensity,0.10108729605
46,47,CC_max_E3027_MS-MS-Count,0.100764968176
47,48,CM_norm_E3027_Unique-peptides,0.100292686578
48,49,PC_E3027_MS-MS-Count,0.0997888135622
49,50,CC_max_E3027_Unique-peptides,0.09969226973
50,51,CC_abs_iBAQ_300,0.0995411702528
51,52,CM_norm_E3024_LFQ-intensity,0.0985954319564
52,53,CM_norm_E3027_MS-MS-Count,0.0973105600248
53,54,EVS_norm_E3019_iBAQ,0.0968971992664
54,55,EVS_norm_E3019_Intensity,0.0968888445165
55,56,R2_norm_E3019_Intensity,0.0943732489848
56,57,R2_norm_E3019_iBAQ,0.0943728423406
57,58,F1_E3020_MS-MS-Count,0.0942854842791
58,59,PC_E3028_MS-MS-Count,0.0942486927953
59,60,CM_LFQ-intensity_1000,0.0936812504832
60,61,CC_abs_E3017_iBAQ,0.092944649197
61,62,MSE_norm_E3023_LFQ-intensity,0.0927723017874
62,63,HS_E3027_LFQ-intensity,0.0921562752235
63,64,EVS_abs_E3020_Unique-peptides,0.0907686423491
64,65,MIS_E3017_LFQ-intensity,0.0902260108003
65,66,CC_average_E3027_iBAQ,0.088795847688
66,67,CC_average_E3027_Intensity,0.0887955619637
67,68,CM_E3020_Intensity,0.0867829595542
68,69,CM_E3020_iBAQ,0.0867829595542
69,70,CC_abs_E3023_iBAQ,0.0866496038681
70,71,EVS_abs_E3027_Unique-peptides,0.0859451858019
71,72,CC_abs_E3021_iBAQ,0.0847520375838
72,73,EVS_norm_E3028_Unique-peptides,0.0844662198971
73,74,CC_max_E3017_Unique-peptides,0.0842747391632
74,75,MIS_E3028_Intensity,0.0841255360927
75,76,MIS_E3028_iBAQ,0.0841255360927
76,77,R2_norm_E3028_Unique-peptides,0.0840857616737
77,78,SC_E3027_Unique-peptides,0.0838153595028
78,79,HS_E3024_iBAQ,0.0832671251339
79,80,HS_E3024_Intensity,0.0832671251339
80,81,PS_E3020_MS-MS-Count,0.083254421641
81,82,AS_E3020_MS-MS-Count,0.083254421641
82,83,RS_E3020_MS-MS-Count,0.083254421641
83,84,PC_E3028_LFQ-intensity,0.0830586985996
84,85,MIS_E3019_MS-MS-Count,0.0827687803826
85,86,CM_E3020_LFQ-intensity,0.0813173497115
86,87,MIS_E3024_iBAQ,0.0809652891062
87,88,MIS_E3024_Intensity,0.0809652891062
88,89,CM_norm_E3028_Unique-peptides,0.0807757898624
89,90,EVS_norm_E3017_Intensity,0.080738739532
90,91,EVS_norm_E3017_iBAQ,0.0807342475809
91,92,HS_SAL1018_intensity,0.0804840410727
92,93,CS_E3024_iBAQ,0.0794810696187
93,94,CS_E3024_Intensity,0.0794810696187
94,95,MSE_norm_E3020_MS-MS-Count,0.0776627314937
95,96,PC_SAL1018_intensity,0.07650617088
96,97,CC_max_E3028_MS-MS-Count,0.0761916599365
97,98,cooccurence,0.0760616344757
98,99,CC_abs_E3028_LFQ-intensity,0.0753116636698
99,100,R2_norm_E3021_LFQ-intensity,0.0743292285969
100,101,CC_average_E3028_LFQ-intensity,0.0730778694791
101,102,SC_SAL1018_intensity,0.0729688035643
102,103,CA_Unique-peptides_1000,0.0727893711312
103,104,ADR_E3028_LFQ-intensity,0.0725637761395
104,105,R2_norm_E3027_Unique-peptides,0.0721996475619
105,106,CC_average_E3019_Unique-peptides,0.0716806332915
106,107,CC_average_E3028_MS-MS-Count,0.0715934605934
107,108,PC_E3019_LFQ-intensity,0.0712667139097
108,109,CKS_E3019_iBAQ,0.0697190929816
109,110,CKS_E3019_Intensity,0.0697190929816
110,111,CA_E3017_iBAQ,0.0695156325799
111,112,CA_E3017_Intensity,0.0695156325799
112,113,MdAE_abs_E3017_iBAQ,0.0694651344532
113,114,CM_E3027_MS-MS-Count,0.0688839565399
114,115,CC_average_E3017_LFQ-intensity,0.0686825435262
115,116,CA_E3021_MS-MS-Count,0.0684270002968
116,117,CC_abs_E3019_LFQ-intensity,0.0683632768818
117,118,CM_E3021_Unique-peptides,0.0680631624887
118,119,PC_E3027_iBAQ,0.0671234708186
119,120,PC_E3027_Intensity,0.0671234708186
120,121,CM_E3028_MS-MS-Count,0.0658902729158
121,122,FMS_E3020_MS-MS-Count,0.0644254923052
122,123,CM_E3028_Unique-peptides,0.0639600580321
123,124,CC_abs_E3021_LFQ-intensity,0.06394432993
124,125,R2_norm_E3017_iBAQ,0.0636351413692
125,126,R2_norm_E3017_Intensity,0.0636344362105
126,127,CA_E3019_MS-MS-Count,0.0635235835978
127,128,EVS_norm_E3027_LFQ-intensity,0.0631698825959
128,129,CC_abs_E3024_iBAQ,0.0631510181923
129,130,MdAE_abs_E3021_iBAQ,0.0628092994024
130,131,ADR_E3028_iBAQ,0.0624341515912
131,132,ADR_E3028_Intensity,0.0624341515912
132,133,CKS_E3020_iBAQ,0.0623500012535
133,134,CKS_E3020_Intensity,0.0623500012535
