,indexes,names,scores
0,1,CC_max_E3019_LFQ-intensity,116.923012436
1,2,PC_E3017_Intensity,115.603219875
2,3,PC_E3017_iBAQ,115.600232874
3,4,CC_max_E3017_iBAQ,114.880517682
4,5,CC_max_E3017_Intensity,114.875655635
5,6,MAE_norm_E3019_LFQ-intensity,113.969985467
6,7,CA_LFQ-intensity_300,113.890224105
7,8,MAE_norm_E3017_iBAQ,112.845558656
8,9,MAE_norm_E3017_Intensity,112.843013487
9,10,R2_norm_E3017_Intensity,112.61062262
10,11,R2_norm_E3017_iBAQ,112.609189733
11,12,MAE_norm_E3019_Intensity,111.597404421
12,13,MAE_norm_E3019_iBAQ,111.587192833
13,14,CC_average_E3017_Intensity,111.425293939
14,15,CC_average_E3017_iBAQ,111.424603218
15,16,EVS_norm_E3017_Intensity,110.92921246
16,17,EVS_norm_E3017_iBAQ,110.928509564
17,18,MAE_norm_E3023_LFQ-intensity,110.798135512
18,19,PC_E3019_LFQ-intensity,110.692264683
19,20,PC_E3017_LFQ-intensity,109.992481577
20,21,MSE_norm_E3017_Intensity,109.486783573
21,22,MSE_norm_E3017_iBAQ,109.485738089
22,23,PC_E3019_Intensity,108.670238811
23,24,PC_E3019_iBAQ,108.668310469
24,25,CC_max_E3017_LFQ-intensity,108.343197516
25,26,CC_average_E3019_LFQ-intensity,108.093037633
26,27,MAE_norm_E3017_LFQ-intensity,107.547244992
27,28,CKS_E3019_LFQ-intensity,106.834702244
28,29,PC_iBAQ_300,106.812207596
29,30,PC_Intensity_300,106.812207596
30,31,R2_norm_E3019_Intensity,106.088366231
31,32,R2_norm_E3019_iBAQ,106.087329549
32,33,MAE_norm_E3021_LFQ-intensity,105.10019231
33,34,EVS_norm_E3019_iBAQ,104.870530674
34,35,EVS_norm_E3019_Intensity,104.869041959
35,36,CC_max_LFQ-intensity_300,104.718504209
36,37,CC_average_E3019_iBAQ,103.712304055
37,38,CC_average_E3019_Intensity,103.708710861
38,39,combined_score,103.700473862
39,40,MSE_norm_E3019_Intensity,103.670807405
40,41,MSE_norm_E3019_iBAQ,103.666525
41,42,PC_LFQ-intensity_300,103.099920429
42,43,MSE_norm_E3017_LFQ-intensity,102.837276256
43,44,CC_average_E3017_LFQ-intensity,101.825651397
44,45,CC_max_Intensity_300,101.606201574
45,46,CC_max_iBAQ_300,101.606201574
46,47,CC_average_iBAQ_1000,101.389382683
47,48,CC_average_Intensity_1000,101.389382683
48,49,CC_max_E3019_iBAQ,101.289703966
49,50,CC_max_E3019_Intensity,101.285255447
50,51,CC_average_iBAQ_300,101.220489115
51,52,CC_average_Intensity_300,101.220489115
52,53,MSE_norm_E3019_LFQ-intensity,101.14237697
53,54,MAE_norm_E3023_Intensity,100.551650073
54,55,MAE_norm_E3023_iBAQ,100.551650073
55,56,CC_average_LFQ-intensity_300,99.8376978842
56,57,EVS_norm_E3019_LFQ-intensity,99.5981711222
57,58,PC_Intensity_1000,98.9757030131
58,59,PC_iBAQ_1000,98.9757030131
59,60,CA_Intensity_300,98.818390817
60,61,CKS_E3017_LFQ-intensity,98.5252148955
61,62,CKS_E3023_LFQ-intensity,98.4462107359
62,63,R2_norm_E3019_LFQ-intensity,98.3220189021
63,64,MAE_norm_E3021_iBAQ,98.0667361426
64,65,MAE_norm_E3021_Intensity,98.0554516185
65,66,CKS_E3021_LFQ-intensity,97.889677138
66,67,PC_MS-MS-Count_1000,97.8089518464
67,68,CA_Intensity_1000,97.7007624239
68,69,CA_iBAQ_1000,97.7007624239
69,70,PC_E3027_MS-MS-Count,97.0216103083
70,71,CC_max_Intensity_1000,95.1243564699
71,72,CC_max_iBAQ_1000,95.1243564699
72,73,CM_Intensity_1000,94.4409584784
73,74,CM_iBAQ_1000,94.4409584784
74,75,EVS_norm_E3017_LFQ-intensity,93.6833756114
75,76,MSE_norm_E3021_Intensity,93.6210345547
76,77,MSE_norm_E3021_iBAQ,93.6185564906
77,78,CA_iBAQ_300,93.466064576
78,79,MSE_norm_E3023_Intensity,93.4328209464
79,80,MSE_norm_E3023_iBAQ,93.4275887903
80,81,MSE_norm_E3023_LFQ-intensity,93.0869970566
81,82,CC_average_E3027_Intensity,93.0602148452
82,83,CC_average_E3027_iBAQ,93.0600566796
83,84,CC_average_E3020_iBAQ,92.7206917789
84,85,CC_average_E3020_Intensity,92.7206917789
85,86,CKS_E3027_Intensity,92.7183823359
86,87,CKS_E3027_iBAQ,92.7183823359
87,88,CA_E3019_LFQ-intensity,92.5062508027
88,89,ADR_E3017_LFQ-intensity,92.1779336215
89,90,CC_abs_iBAQ_300,91.8696412325
90,91,PC_E3027_iBAQ,91.7898514855
91,92,PC_E3027_Intensity,91.7877905046
92,93,CKS_E3017_iBAQ,91.1410516505
93,94,CKS_E3017_Intensity,91.1410516505
94,95,ADR_E3019_LFQ-intensity,90.4838938502
95,96,CC_average_E3023_iBAQ,90.0240179038
96,97,R2_norm_E3017_LFQ-intensity,90.0227860955
97,98,CC_average_E3023_Intensity,90.0214445422
98,99,MSE_norm_E3021_LFQ-intensity,89.9890804828
99,100,CC_max_E3023_LFQ-intensity,89.6304167341
100,101,PC_E3023_LFQ-intensity,89.6153058539
101,102,PC_E3023_Intensity,89.5855208763
102,103,PC_E3023_iBAQ,89.5845311648
103,104,PC_E3028_MS-MS-Count,89.2607855538
104,105,CC_abs_E3023_iBAQ,89.2369433376
105,106,CC_abs_E3017_iBAQ,88.9894973082
106,107,ADR_E3021_LFQ-intensity,88.4698887188
107,108,CA_E3017_LFQ-intensity,88.4147021577
108,109,EVS_norm_E3027_MS-MS-Count,88.3775848029
109,110,ADR_E3017_Intensity,88.3578275145
110,111,ADR_E3017_iBAQ,88.3578275145
111,112,CKS_E3024_iBAQ,88.300312133
112,113,CKS_E3024_Intensity,88.300312133
113,114,MSE_norm_E3027_Intensity,88.2956360572
