,indexes,names,scores
0,1,CC_max_E3017_iBAQ,117.307833379
1,2,CC_max_E3017_Intensity,117.305237608
2,3,CC_max_E3019_LFQ-intensity,115.90954989
3,4,CA_LFQ-intensity_300,115.85825446
4,5,R2_norm_E3019_Intensity,114.072006396
5,6,R2_norm_E3019_iBAQ,114.071510259
6,7,PC_E3017_Intensity,113.89919654
7,8,PC_E3017_iBAQ,113.898049333
8,9,CC_average_E3017_Intensity,112.326609981
9,10,CC_average_E3017_iBAQ,112.326609981
10,11,CC_max_E3017_LFQ-intensity,110.880430669
11,12,MAE_norm_E3019_Intensity,110.801565436
12,13,MAE_norm_E3019_iBAQ,110.801565436
13,14,MAE_norm_E3017_iBAQ,109.988375337
14,15,MAE_norm_E3017_Intensity,109.984054779
15,16,PC_E3019_iBAQ,109.943417885
16,17,PC_E3019_Intensity,109.941263833
17,18,CC_abs_iBAQ_300,109.071947929
18,19,MAE_norm_E3019_LFQ-intensity,108.754967768
19,20,PC_iBAQ_300,108.575000968
20,21,PC_Intensity_300,108.575000968
21,22,PC_E3017_LFQ-intensity,108.172438541
22,23,CC_average_E3019_iBAQ,107.634199878
23,24,CC_average_E3019_Intensity,107.631013925
24,25,MSE_norm_E3017_iBAQ,107.50781067
25,26,MSE_norm_E3017_Intensity,107.49318566
26,27,PC_E3019_LFQ-intensity,107.412857571
27,28,EVS_norm_E3019_iBAQ,107.356788975
28,29,EVS_norm_E3019_Intensity,107.356785643
29,30,CC_average_E3019_LFQ-intensity,106.856393277
30,31,CC_average_Intensity_300,106.647531977
31,32,CC_average_iBAQ_300,106.647531977
32,33,CC_max_LFQ-intensity_300,106.422052651
33,34,CC_max_iBAQ_300,106.132196665
34,35,CC_max_Intensity_300,106.132196665
35,36,CC_max_E3019_Intensity,105.735044937
36,37,CC_max_E3019_iBAQ,105.733903115
37,38,PC_Intensity_1000,105.696706791
38,39,PC_iBAQ_1000,105.688779951
39,40,CC_abs_E3023_iBAQ,105.564438624
40,41,R2_norm_E3017_Intensity,105.483328454
41,42,R2_norm_E3017_iBAQ,105.481686886
42,43,CC_abs_E3017_iBAQ,105.4184935
43,44,EVS_norm_E3017_iBAQ,105.269601615
44,45,EVS_norm_E3017_Intensity,105.269338966
45,46,MAE_norm_E3017_LFQ-intensity,104.824917523
46,47,MSE_norm_E3019_Intensity,104.317814089
47,48,CA_iBAQ_1000,104.315973123
48,49,CA_Intensity_1000,104.315973123
49,50,MSE_norm_E3019_iBAQ,104.303670745
50,51,combined_score,104.282657365
51,52,PC_LFQ-intensity_300,103.250954369
52,53,CC_average_iBAQ_1000,103.149181223
53,54,CC_average_Intensity_1000,103.149181223
54,55,MAE_norm_E3023_LFQ-intensity,102.753961587
55,56,MAE_norm_E3023_iBAQ,102.30462499
56,57,MAE_norm_E3023_Intensity,102.30462499
57,58,MSE_norm_E3017_LFQ-intensity,102.225998221
58,59,CC_average_LFQ-intensity_300,101.276807301
59,60,CA_Intensity_300,100.831893732
60,61,CC_average_E3017_LFQ-intensity,100.35299746
61,62,R2_norm_E3019_LFQ-intensity,100.148101595
62,63,CA_E3017_LFQ-intensity,99.6373553136
63,64,CC_max_Intensity_1000,99.6304486846
64,65,CC_max_iBAQ_1000,99.6123361568
65,66,MSE_norm_E3019_LFQ-intensity,99.4340197705
66,67,CC_average_E3023_Intensity,99.2008970621
67,68,CC_average_E3023_iBAQ,99.2002722951
68,69,PC_MS-MS-Count_1000,98.8617233738
69,70,MAE_norm_E3021_LFQ-intensity,98.5550112713
70,71,CKS_E3019_LFQ-intensity,98.5540491628
71,72,CA_iBAQ_300,98.3235708185
72,73,CKS_E3017_LFQ-intensity,98.2159654457
73,74,CC_abs_E3019_iBAQ,98.0382969637
74,75,PC_E3027_MS-MS-Count,97.6507004522
75,76,EVS_norm_E3019_LFQ-intensity,97.361789823
76,77,CC_average_E3020_Intensity,97.3376453772
77,78,CC_average_E3020_iBAQ,97.3376453772
78,79,R2_norm_E3023_iBAQ,97.0479179551
79,80,R2_norm_E3023_Intensity,97.0475449462
80,81,PC_E3027_Intensity,96.9884396836
81,82,PC_E3027_iBAQ,96.9878282142
82,83,PC_E3023_Intensity,96.8109990186
83,84,PC_E3023_iBAQ,96.8100334595
