,indexes,names,scores
0,1,PC_E3017_iBAQ,121.081632482
1,2,PC_E3017_Intensity,121.081628323
2,3,MAE_norm_E3019_LFQ-intensity,120.968267074
3,4,MAE_norm_E3017_LFQ-intensity,120.937895851
4,5,MAE_norm_E3019_iBAQ,120.687662398
5,6,MAE_norm_E3019_Intensity,120.681489512
6,7,CC_max_E3017_iBAQ,120.444709423
7,8,CC_max_E3017_Intensity,120.43953625
8,9,CA_LFQ-intensity_300,120.312623498
9,10,MAE_norm_E3017_Intensity,120.11266031
10,11,MAE_norm_E3017_iBAQ,120.11266031
11,12,MAE_norm_E3023_LFQ-intensity,118.662257648
12,13,CC_max_E3019_LFQ-intensity,117.88733656
13,14,MSE_norm_E3017_LFQ-intensity,116.660002603
14,15,PC_E3017_LFQ-intensity,116.514172281
15,16,MAE_norm_E3021_LFQ-intensity,116.124337095
16,17,CC_max_E3017_LFQ-intensity,115.87598157
17,18,CC_average_E3017_Intensity,115.341704923
18,19,CC_average_E3017_iBAQ,115.338068803
19,20,PC_E3019_iBAQ,114.623506232
20,21,PC_E3019_Intensity,114.623506232
21,22,PC_Intensity_300,113.706227149
22,23,PC_iBAQ_300,113.706227149
23,24,MSE_norm_E3019_Intensity,113.216478186
24,25,MSE_norm_E3019_iBAQ,113.201989032
25,26,CC_abs_iBAQ_300,110.902818717
26,27,MSE_norm_E3017_iBAQ,110.842931332
27,28,MSE_norm_E3017_Intensity,110.825682892
28,29,PC_E3019_LFQ-intensity,109.966615239
29,30,CC_max_LFQ-intensity_300,109.795590006
30,31,EVS_norm_E3019_iBAQ,108.902804033
31,32,EVS_norm_E3019_Intensity,108.90182974
32,33,R2_norm_E3019_Intensity,108.489418548
33,34,R2_norm_E3019_iBAQ,108.488034606
34,35,MAE_norm_E3023_iBAQ,108.31220099
35,36,MAE_norm_E3023_Intensity,108.31220099
36,37,PC_LFQ-intensity_300,107.914241782
37,38,EVS_norm_E3017_Intensity,107.763359242
38,39,EVS_norm_E3017_iBAQ,107.762761182
39,40,CC_average_E3019_LFQ-intensity,107.730646452
40,41,CC_abs_E3017_iBAQ,107.48772193
41,42,CC_average_iBAQ_300,107.080108253
42,43,CC_average_Intensity_300,107.080108253
43,44,CC_max_iBAQ_300,106.898239696
44,45,CC_max_Intensity_300,106.898239696
45,46,CC_average_E3019_iBAQ,106.82334092
46,47,CC_average_E3019_Intensity,106.81712804
47,48,CC_average_E3017_LFQ-intensity,106.444424231
48,49,MSE_norm_E3019_LFQ-intensity,105.884232419
49,50,CC_max_E3019_Intensity,105.568256267
50,51,CC_max_E3019_iBAQ,105.563692229
51,52,combined_score,105.121227583
52,53,CC_abs_E3023_iBAQ,105.090365952
53,54,CKS_E3019_LFQ-intensity,104.64410744
54,55,R2_norm_E3017_iBAQ,104.28082258
55,56,R2_norm_E3017_Intensity,104.280387842
56,57,CC_average_LFQ-intensity_300,103.814794443
57,58,CA_Intensity_1000,102.538441994
58,59,CA_iBAQ_1000,102.538441994
59,60,CKS_E3021_LFQ-intensity,102.152665689
60,61,CKS_E3017_LFQ-intensity,102.099364862
61,62,ADR_E3017_Intensity,101.084474638
62,63,ADR_E3017_iBAQ,101.084474638
63,64,CA_E3019_LFQ-intensity,100.782662536
64,65,CKS_E3023_LFQ-intensity,100.585827691
65,66,MSE_norm_E3021_LFQ-intensity,100.50204867
66,67,MSE_norm_E3023_iBAQ,100.484590764
67,68,MSE_norm_E3023_Intensity,100.484590764
68,69,CA_Intensity_300,100.103901015
69,70,CC_abs_E3019_iBAQ,99.6522315514
70,71,MSE_norm_E3023_LFQ-intensity,99.2260540263
71,72,MAE_norm_E3021_iBAQ,98.4937753799
72,73,MAE_norm_E3021_Intensity,98.4920016496
73,74,R2_norm_E3019_LFQ-intensity,97.8617317809
74,75,PC_E3023_Intensity,97.8298059646
75,76,PC_E3023_iBAQ,97.828826782
76,77,EVS_norm_E3019_LFQ-intensity,97.6633533564
77,78,CC_average_E3023_iBAQ,96.0888672655
78,79,CC_average_E3023_Intensity,96.0859378852
79,80,MSE_norm_E3021_iBAQ,96.0756508059
80,81,MSE_norm_E3021_Intensity,96.0665378301
81,82,PC_Intensity_1000,95.8898768433
82,83,PC_iBAQ_1000,95.8864920813
83,84,CC_average_Intensity_1000,95.3239157954
84,85,CC_average_iBAQ_1000,95.3239157954
85,86,CA_iBAQ_300,95.0585710836
86,87,PC_E3027_MS-MS-Count,94.9256696762
87,88,PC_E3021_LFQ-intensity,94.0714489025
88,89,CKS_E3017_iBAQ,93.9920157522
89,90,CKS_E3017_Intensity,93.9920157522
90,91,MAE_norm_E3017_MS-MS-Count,93.707282834
91,92,CC_max_E3023_LFQ-intensity,93.2330716638
