,indexes,names,scores
0,1,CC_max_E3017_iBAQ,122.191736971
1,2,CC_max_E3017_Intensity,122.18956344
2,3,PC_E3017_Intensity,120.083544835
3,4,PC_E3017_iBAQ,120.083544835
4,5,MAE_norm_E3019_Intensity,118.667917694
5,6,MAE_norm_E3019_iBAQ,118.667917694
6,7,CC_average_E3017_iBAQ,118.152924674
7,8,CC_average_E3017_Intensity,118.152924674
8,9,MAE_norm_E3017_Intensity,117.295675806
9,10,MAE_norm_E3017_iBAQ,117.291066394
10,11,CA_LFQ-intensity_300,115.960137458
11,12,CC_max_E3019_LFQ-intensity,115.686812359
12,13,PC_iBAQ_300,114.17045054
13,14,PC_Intensity_300,114.17045054
14,15,PC_E3019_Intensity,114.082522845
15,16,PC_E3019_iBAQ,114.082522845
16,17,CC_max_E3017_LFQ-intensity,113.870600476
17,18,PC_E3017_LFQ-intensity,112.594534648
18,19,MAE_norm_E3023_iBAQ,111.580891806
19,20,MAE_norm_E3023_Intensity,111.57660479
20,21,MAE_norm_E3017_LFQ-intensity,111.540992345
21,22,CC_max_iBAQ_300,110.578939404
22,23,CC_max_Intensity_300,110.578939404
23,24,CC_average_iBAQ_300,109.930157384
24,25,CC_average_Intensity_300,109.930157384
25,26,MSE_norm_E3017_iBAQ,109.794491501
26,27,MSE_norm_E3017_Intensity,109.791674863
27,28,MSE_norm_E3019_Intensity,109.47861883
28,29,MSE_norm_E3019_iBAQ,109.47861883
29,30,combined_score,109.055044698
30,31,MSE_norm_E3017_LFQ-intensity,109.003530654
31,32,CC_max_LFQ-intensity_300,108.961694512
32,33,EVS_norm_E3019_iBAQ,107.68980059
33,34,EVS_norm_E3019_Intensity,107.689256233
34,35,MAE_norm_E3019_LFQ-intensity,107.683754499
35,36,MAE_norm_E3021_iBAQ,107.629200153
36,37,MAE_norm_E3021_Intensity,107.629200153
37,38,CC_average_E3019_iBAQ,107.117072272
38,39,CC_average_E3019_Intensity,107.114359428
39,40,R2_norm_E3019_Intensity,106.981549351
40,41,R2_norm_E3019_iBAQ,106.980956946
41,42,CC_average_E3017_LFQ-intensity,106.85863369
42,43,CC_average_E3019_LFQ-intensity,106.816302171
43,44,CC_max_E3019_iBAQ,106.477678174
44,45,CC_max_E3019_Intensity,106.47348304
45,46,MAE_norm_E3023_LFQ-intensity,105.850937594
46,47,MSE_norm_E3023_Intensity,105.21727878
47,48,MSE_norm_E3023_iBAQ,105.21727878
48,49,CC_abs_iBAQ_300,105.003409858
49,50,PC_E3019_LFQ-intensity,104.904588313
50,51,MSE_norm_E3021_iBAQ,104.004195448
51,52,MSE_norm_E3021_Intensity,103.996149823
52,53,CC_average_LFQ-intensity_300,103.92944517
53,54,CA_Intensity_300,103.723677646
54,55,CC_abs_E3017_iBAQ,103.581249976
55,56,CKS_E3019_LFQ-intensity,103.160547415
56,57,MAE_norm_E3021_LFQ-intensity,103.019253058
57,58,PC_LFQ-intensity_300,102.997747361
58,59,EVS_norm_E3017_Intensity,102.191372438
59,60,EVS_norm_E3017_iBAQ,102.191189102
60,61,CA_iBAQ_1000,101.683984176
61,62,CA_Intensity_1000,101.683984176
62,63,CC_abs_E3023_iBAQ,100.670622426
63,64,PC_E3023_Intensity,100.32403478
64,65,PC_E3023_iBAQ,100.322385739
65,66,CC_average_E3023_iBAQ,100.176699216
66,67,CC_average_E3023_Intensity,100.176699216
67,68,CKS_E3017_LFQ-intensity,100.085944904
68,69,MAE_norm_E3021_MS-MS-Count,98.3293703375
69,70,CA_iBAQ_300,98.1511978245
70,71,CKS_E3023_LFQ-intensity,97.9551353776
71,72,R2_norm_E3017_iBAQ,97.3851778139
72,73,R2_norm_E3017_Intensity,97.3848177204
73,74,CKS_E3021_LFQ-intensity,96.8751337281
74,75,CA_E3017_LFQ-intensity,96.2460213026
75,76,CA_E3019_LFQ-intensity,95.7031774911
76,77,MSE_norm_E3019_LFQ-intensity,95.4956534622
77,78,CC_average_Intensity_1000,95.3273391977
78,79,CC_average_iBAQ_1000,95.3273391977
79,80,ADR_E3017_Intensity,94.7889219463
80,81,ADR_E3017_iBAQ,94.7889219463
81,82,CKS_E3024_Intensity,94.6999786337
82,83,CKS_E3024_iBAQ,94.6999786337
83,84,PC_iBAQ_1000,94.2451145327
84,85,PC_Intensity_1000,94.2451145327
85,86,MAE_norm_E3017_MS-MS-Count,94.0323499918
86,87,CC_max_E3023_LFQ-intensity,93.7611928717
87,88,CC_max_E3023_iBAQ,93.7151863375
88,89,CC_max_E3023_Intensity,93.7123271208
89,90,PC_E3027_MS-MS-Count,93.374416465
90,91,MSE_norm_E3021_LFQ-intensity,93.3260268286
91,92,PC_E3021_iBAQ,92.5577902712
92,93,PC_E3021_Intensity,92.553595172
93,94,MAE_norm_E3023_MS-MS-Count,92.4482069709
94,95,CKS_E3017_Intensity,92.3838106596
95,96,CKS_E3017_iBAQ,92.3838106596
96,97,CC_average_E3021_LFQ-intensity,92.2770627739
97,98,MSE_norm_E3023_LFQ-intensity,91.9214063814
98,99,PC_MS-MS-Count_1000,91.7754102136
99,100,EVS_norm_E3019_LFQ-intensity,91.7068061377
100,101,CC_abs_E3019_iBAQ,91.5418506508
101,102,ADR_E3017_LFQ-intensity,91.2227823768
102,103,CM_iBAQ_1000,91.1788144131
103,104,CM_Intensity_1000,91.1788144131
104,105,CKS_E3027_Intensity,91.0927418103
105,106,CKS_E3027_iBAQ,91.0927418103
106,107,CC_average_E3023_LFQ-intensity,90.8346640284
107,108,PC_Unique-peptides_1000,90.4147024128
108,109,PC_E3021_LFQ-intensity,90.2162565557
109,110,CC_max_iBAQ_1000,90.2025075722
110,111,CC_max_Intensity_1000,90.2025075722
111,112,ADR_E3021_iBAQ,90.1440644156
112,113,EVS_norm_E3017_LFQ-intensity,90.0990278774
113,114,ADR_E3021_Intensity,90.0461128729
114,115,CC_max_E3021_LFQ-intensity,89.9212263579
115,116,R2_norm_E3019_LFQ-intensity,89.8550752708
116,117,PC_E3027_iBAQ,89.3655834607
117,118,PC_E3027_Intensity,89.3655834607
118,119,PC_E3028_iBAQ,89.1672547554
119,120,PC_E3028_Intensity,89.1672547554
120,121,VMS_E3017_Intensity,89.1238769959
121,122,VMS_E3017_iBAQ,89.1238769959
122,123,R2_norm_E3021_LFQ-intensity,89.0158540837
123,124,PC_E3028_MS-MS-Count,88.591698218
124,125,EVS_norm_E3023_Intensity,88.536450688
125,126,EVS_norm_E3023_iBAQ,88.5362968979
126,127,CKS_E3019_Intensity,88.4312149908
127,128,CKS_E3019_iBAQ,88.4312149908
128,129,ADR_E3021_LFQ-intensity,88.363482079
129,130,ADR_E3019_LFQ-intensity,88.2484500036
130,131,CC_average_E3027_Intensity,87.8939827289
131,132,CC_average_E3027_iBAQ,87.8924994015
132,133,CA_MS-MS-Count_300,87.6297021718
133,134,CC_average_E3021_iBAQ,87.548889545
134,135,CC_average_E3021_Intensity,87.548889545
135,136,PC_E3028_LFQ-intensity,87.3772160506
136,137,PC_E3023_LFQ-intensity,87.2631117613
137,138,MAE_norm_E3020_LFQ-intensity,87.0102395328
138,139,MAE_norm_E3024_Intensity,86.3882098083
139,140,MAE_norm_E3024_iBAQ,86.3853391725
140,141,ADR_E3019_Intensity,86.3325785629
141,142,ADR_E3019_iBAQ,86.3325785629
142,143,PC_E3027_Unique-peptides,86.2027231305
143,144,experimental,86.1716263629
144,145,R2_norm_E3023_iBAQ,86.1212417014
145,146,R2_norm_E3023_Intensity,86.1211632892
146,147,CC_average_E3020_Intensity,85.7391810324
147,148,CC_average_E3020_iBAQ,85.7383680483
148,149,CKS_E3023_iBAQ,85.5947697584
149,150,CKS_E3023_Intensity,85.5947697584
150,151,VMS_E3021_Intensity,85.3174083348
151,152,VMS_E3021_iBAQ,85.3097268693
152,153,CC_max_E3028_Intensity,84.8128494944
153,154,CC_max_E3028_iBAQ,84.8122774488
154,155,EVS_norm_E3027_MS-MS-Count,84.7496479259
155,156,CC_average_E3028_Intensity,84.6360983097
156,157,CC_average_E3028_iBAQ,84.6360382879
157,158,EVS_norm_E3021_LFQ-intensity,84.5235217122
