,indexes,names,scores
0,1,CC_max_E3019_LFQ-intensity,119.215169593
1,2,CA_LFQ-intensity_300,117.351219245
2,3,CC_max_E3017_iBAQ,115.12056236
3,4,CC_max_E3017_Intensity,115.119487153
4,5,MAE_norm_E3017_LFQ-intensity,114.619033423
5,6,CC_max_E3017_LFQ-intensity,112.758622092
6,7,PC_E3017_Intensity,112.103054109
7,8,PC_E3017_iBAQ,112.102168983
8,9,MAE_norm_E3019_iBAQ,112.077365822
9,10,MAE_norm_E3019_Intensity,112.077298605
10,11,CC_average_E3017_iBAQ,111.990662854
11,12,CC_average_E3017_Intensity,111.988852933
12,13,CC_average_E3019_LFQ-intensity,111.326513071
13,14,MAE_norm_E3017_Intensity,110.787773645
14,15,MAE_norm_E3017_iBAQ,110.787773645
15,16,PC_E3017_LFQ-intensity,109.921545209
16,17,MSE_norm_E3017_LFQ-intensity,109.086529839
17,18,PC_E3019_iBAQ,108.998622964
18,19,PC_E3019_Intensity,108.997680917
19,20,CC_max_LFQ-intensity_300,108.546247061
20,21,PC_E3019_LFQ-intensity,108.093122072
21,22,MAE_norm_E3019_LFQ-intensity,107.187559617
22,23,EVS_norm_E3019_iBAQ,106.914705935
23,24,EVS_norm_E3019_Intensity,106.913917689
24,25,MSE_norm_E3019_Intensity,106.687354266
25,26,MSE_norm_E3019_iBAQ,106.681601847
26,27,PC_Intensity_300,105.684196307
27,28,PC_iBAQ_300,105.684196307
28,29,MSE_norm_E3017_iBAQ,105.174582035
29,30,MSE_norm_E3017_Intensity,105.167996127
30,31,MAE_norm_E3023_LFQ-intensity,104.524654832
31,32,CC_average_E3017_LFQ-intensity,104.419948578
32,33,CC_average_E3019_iBAQ,103.297992698
33,34,CC_average_E3019_Intensity,103.29437602
34,35,R2_norm_E3019_Intensity,103.06640635
35,36,R2_norm_E3019_iBAQ,103.065334013
36,37,CC_max_iBAQ_300,102.960048781
37,38,CC_max_Intensity_300,102.960048781
38,39,CKS_E3019_LFQ-intensity,102.765882709
39,40,CC_average_LFQ-intensity_300,102.75454182
40,41,PC_LFQ-intensity_300,102.324627589
41,42,CC_abs_iBAQ_300,102.301584787
42,43,CC_average_iBAQ_300,101.711628865
43,44,CC_average_Intensity_300,101.711628865
44,45,EVS_norm_E3017_Intensity,101.626846467
45,46,EVS_norm_E3017_iBAQ,101.6265426
46,47,CC_max_E3019_Intensity,101.229159293
47,48,CC_max_E3019_iBAQ,101.226956852
48,49,combined_score,100.928481348
49,50,CC_average_iBAQ_1000,100.824350962
50,51,CC_average_Intensity_1000,100.824350962
51,52,CC_abs_E3017_iBAQ,100.590535468
52,53,CA_Intensity_300,99.6075794603
53,54,CKS_E3017_LFQ-intensity,99.4050299087
54,55,MAE_norm_E3021_LFQ-intensity,98.3887255472
55,56,EVS_norm_E3019_LFQ-intensity,98.2616880852
56,57,CA_E3017_LFQ-intensity,97.9217970733
57,58,CKS_E3021_LFQ-intensity,97.7171769897
58,59,MAE_norm_E3023_iBAQ,97.5974342754
59,60,MAE_norm_E3023_Intensity,97.593937329
60,61,CC_average_E3027_iBAQ,97.3858239563
61,62,CC_average_E3027_Intensity,97.3857761343
62,63,CC_abs_E3023_iBAQ,96.8258628695
63,64,CKS_E3023_LFQ-intensity,96.1555716529
64,65,MSE_norm_E3019_LFQ-intensity,95.7889065084
65,66,CA_Intensity_1000,95.6217507938
66,67,CA_iBAQ_1000,95.6217507938
67,68,CA_iBAQ_300,95.4064165944
68,69,MSE_norm_E3023_iBAQ,95.0440610569
69,70,MSE_norm_E3023_Intensity,95.0435302964
70,71,CC_average_E3020_iBAQ,94.6352967498
71,72,CC_average_E3020_Intensity,94.6352967498
72,73,PC_E3027_MS-MS-Count,94.5271195753
73,74,CC_max_Intensity_1000,94.493399164
74,75,CC_max_iBAQ_1000,94.493399164
75,76,R2_norm_E3019_LFQ-intensity,94.155232721
76,77,CA_E3019_LFQ-intensity,94.086701399
77,78,CC_max_E3023_LFQ-intensity,93.4303801014
78,79,CKS_E3027_Intensity,93.220957346
79,80,CKS_E3027_iBAQ,93.220957346
80,81,PC_Intensity_1000,93.1336783218
