,indexes,names,scores
0,1,CC_average_E3017_iBAQ,123.470228019
1,2,CC_average_E3017_Intensity,123.470228019
2,3,CC_max_E3017_Intensity,122.795407299
3,4,CC_max_E3017_iBAQ,122.795139852
4,5,CA_LFQ-intensity_300,119.084596128
5,6,CC_max_E3019_LFQ-intensity,114.853606169
6,7,PC_E3017_iBAQ,114.012937521
7,8,PC_E3017_Intensity,114.012937521
8,9,CC_average_iBAQ_300,110.271478417
9,10,CC_average_Intensity_300,110.271478417
10,11,CC_max_E3017_LFQ-intensity,110.103980053
11,12,combined_score,109.745242933
12,13,CC_average_E3019_LFQ-intensity,109.123940589
13,14,CC_average_E3019_iBAQ,109.07856668
14,15,CC_average_E3019_Intensity,109.078560308
15,16,CC_max_LFQ-intensity_300,108.559255232
16,17,PC_E3017_LFQ-intensity,106.903045651
17,18,CC_average_E3017_LFQ-intensity,106.55593947
18,19,CC_average_LFQ-intensity_300,106.173362633
19,20,EVS_norm_E3017_Intensity,105.979534469
20,21,EVS_norm_E3017_iBAQ,105.979299871
21,22,CC_max_Intensity_300,104.877853996
22,23,CC_max_iBAQ_300,104.853768666
23,24,PC_iBAQ_300,103.843377932
24,25,PC_Intensity_300,103.843377932
25,26,CKS_E3019_LFQ-intensity,102.024810477
26,27,CC_abs_iBAQ_300,101.958683043
27,28,PC_LFQ-intensity_300,101.903712337
28,29,CC_abs_E3017_iBAQ,101.668811482
29,30,MAE_norm_E3017_iBAQ,101.572916879
30,31,MAE_norm_E3017_Intensity,101.572916879
31,32,PC_E3019_LFQ-intensity,101.543051674
32,33,PC_E3019_Intensity,100.823811024
33,34,PC_E3019_iBAQ,100.823811024
34,35,CC_abs_E3023_iBAQ,100.58490648
35,36,MAE_norm_E3019_iBAQ,100.155751515
36,37,MAE_norm_E3019_Intensity,100.155751515
37,38,MSE_norm_E3017_LFQ-intensity,100.125647168
38,39,CC_average_E3023_Intensity,100.053289353
39,40,CC_average_E3023_iBAQ,100.053289353
40,41,CKS_E3017_LFQ-intensity,99.9841255483
41,42,R2_norm_E3017_Intensity,99.4456773368
42,43,R2_norm_E3017_iBAQ,99.4447124019
43,44,MAE_norm_E3017_LFQ-intensity,99.2447189523
44,45,MSE_norm_E3017_iBAQ,98.7538696452
45,46,MSE_norm_E3017_Intensity,98.7372096189
46,47,CKS_E3021_LFQ-intensity,98.2150641188
47,48,CKS_E3023_LFQ-intensity,97.8870902688
48,49,MAE_norm_E3023_Intensity,97.8194296216
49,50,MAE_norm_E3023_iBAQ,97.8194296216
50,51,MAE_norm_E3019_LFQ-intensity,97.5865257374
51,52,CC_max_E3023_LFQ-intensity,97.5172527968
52,53,CC_max_E3019_Intensity,97.303617077
53,54,CC_max_E3019_iBAQ,97.3033136223
